,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
2013-04-18,5783.100098,154.192352,251.821426,586.784302,353.922089,440.993561,290.528198,1332.977417,276.237366,450.123444,186.068954,626.921021,517.794556,232.820663,108.610985,135.621643,100.494125,241.949417,2456.991943,83.297234,454.452881
2013-04-22,5834.399902,156.032883,257.61734,610.009399,357.612549,431.168304,291.594666,1307.791138,278.975494,455.429077,187.071899,632.800781,535.237488,235.304489,111.282242,138.352249,102.82589,242.866608,2514.57251,83.911629,458.95694
2013-04-23,5836.899902,153.377686,259.633636,598.417053,363.929382,434.567505,290.33429,1312.608032,275.308167,466.679169,187.425995,625.69989,527.60614,231.414734,110.818436,136.627655,104.151794,242.383865,2485.976807,83.165611,469.193359
2013-04-25,5916.299805,156.53241,262.531586,604.202881,371.151825,427.93103,294.600311,1286.6875,286.847839,481.245178,188.753769,627.690063,534.337036,227.243851,111.7117,139.741547,108.449532,242.866608,2458.694336,83.033913,462.005096
2013-04-26,5871.450195,153.407867,256.231384,612.793213,358.812592,424.915131,308.75589,1256.453735,289.782684,469.700378,188.193466,630.29071,536.754395,222.932358,110.036804,140.364319,108.175209,241.46666,2474.35376,83.25338,464.143402
2013-04-29,5904.100098,152.442322,254.047577,608.398743,358.925751,428.238434,308.513519,1257.738281,289.635406,462.036621,191.586441,628.979004,533.436401,226.540894,113.00869,140.460114,109.226784,241.418411,2501.393066,83.648323,470.239746
2013-04-30,5930.200195,151.822113,254.299759,601.399475,356.910706,429.419434,309.046753,1264.757935,293.400574,467.219574,194.064987,665.524109,549.694458,223.260391,113.111763,141.609894,108.952454,240.597717,2659.64209,83.121689,465.098785
2013-05-02,5999.350098,154.178955,255.854065,617.247681,363.567139,439.264709,307.107605,1315.681885,290.808777,475.079834,196.839203,681.919617,544.812317,223.869629,116.865242,144.675858,111.604263,241.46666,2631.289551,82.858368,475.016754
2013-05-03,5944.0,148.436096,261.397797,624.545837,362.480347,443.346344,308.028748,1301.551758,279.317505,483.750641,195.157333,683.480103,542.916321,216.980621,116.461563,154.304916,111.009888,239.487411,2608.432129,82.243958,469.238892
2013-05-06,5971.049805,149.260803,270.930908,620.230042,372.034821,449.714691,310.743469,1346.236694,284.647461,482.497955,192.501709,684.203857,547.182373,218.105347,117.157272,151.238968,113.753128,243.15625,2582.219727,82.507271,473.19696
2013-05-07,6043.549805,151.319244,272.737396,627.588074,375.000793,451.193878,321.117767,1350.273804,291.835785,486.821075,197.871338,685.176147,546.613464,224.338287,115.894676,155.167221,112.975883,250.590454,2592.918945,82.682823,471.46814
2013-05-08,6069.299805,151.178421,267.65564,621.403137,375.679993,451.548798,314.330872,1358.072998,293.645721,484.168213,202.297348,684.85968,540.641174,223.447861,116.504501,155.023544,112.564392,257.97641,2568.505615,82.463432,471.240692
2013-05-09,6050.149902,153.609024,265.513245,621.463074,370.449951,453.614227,315.106445,1374.910278,293.498444,465.843994,203.301163,690.400208,547.608948,220.167374,117.037033,151.622192,111.916412,265.845062,2560.335449,82.463432,472.833038
2013-05-10,6094.75,153.786682,267.529572,621.224304,376.399567,455.564392,314.379333,1372.570313,302.251526,459.359283,208.405228,695.262268,541.399536,222.416855,116.28978,154.257034,112.00898,274.196411,2512.140869,82.507271,476.063171
2013-05-13,5980.450195,152.720581,256.693359,603.467407,371.792694,449.426544,302.259796,1331.922974,290.906616,463.70697,198.167007,693.159119,531.208557,217.496109,113.84185,157.083481,107.982208,276.465302,2457.283691,81.717331,465.735779
2013-05-14,5995.399902,153.749802,255.266006,605.038757,369.547089,451.434357,307.592407,1337.749023,293.694153,473.434052,198.196228,700.735107,535.379761,215.809006,113.189064,155.023544,108.676483,276.948059,2464.675781,82.507271,464.279877
2013-05-15,6146.75,159.764236,258.961853,628.582275,379.200745,453.431305,312.828003,1350.227905,302.055786,478.518677,202.091095,700.621948,540.878113,226.587753,117.088585,154.448669,109.370743,282.451294,2491.666748,82.507271,458.092529
2013-05-16,6169.899902,162.218277,261.901184,633.434021,389.224823,448.081909,311.713013,1334.170654,296.971039,475.96405,198.875183,697.455872,540.830811,227.665634,118.248131,151.813797,112.33297,276.658417,2491.763916,81.761169,453.815979
2013-05-17,6187.299805,162.587067,261.943542,645.62323,386.840332,451.760956,305.944122,1352.292358,296.67746,474.637665,197.635864,671.087402,541.020325,233.992264,118.376984,150.52034,112.888374,273.134399,2488.894287,82.463432,450.494781
2013-05-20,6156.899902,161.712051,264.882874,645.245605,384.826263,455.660461,298.430054,1351.007813,295.40625,474.539429,197.488068,644.334229,539.266602,232.492645,116.985489,149.418518,111.036995,276.175629,2526.341064,82.024483,441.486694
2013-05-21,6114.100098,158.285782,259.213989,638.524719,383.645599,460.568085,295.182098,1369.771851,286.505859,478.469543,195.334366,641.665894,535.664124,225.744202,115.989143,148.556229,108.954193,270.286255,2568.213379,81.322304,435.481293
2013-05-22,6094.5,158.440002,256.987854,602.074951,379.084991,458.205322,302.55072,1374.864258,284.745331,492.20047,198.019165,638.70343,536.422546,212.903442,117.724167,150.855682,108.352486,267.05188,2612.711914,79.742401,431.659698
2013-05-23,5967.049805,146.00885,251.611649,564.015625,363.203979,453.316925,292.045837,1369.634155,284.647461,494.214661,196.219574,650.349731,545.428528,197.813232,116.384262,148.891541,105.112556,265.893311,2610.961426,77.24086,422.924591
2013-05-24,5983.549805,144.238724,262.90979,579.367126,364.129944,451.020874,290.343628,1348.3927,281.763031,475.96405,194.684647,661.363037,544.907043,198.609894,116.212486,151.526382,108.445061,272.168945,2600.261963,80.312973,422.970123
2013-05-27,6083.149902,144.969574,266.394897,583.641724,383.506683,455.784851,300.702637,1374.497314,288.022186,497.997437,197.045471,674.773621,631.032471,201.796677,119.82856,151.765915,111.638695,278.830719,2623.605469,80.488518,432.114655
2013-05-28,6111.25,176.724991,270.301422,578.59137,390.498047,454.536255,306.198212,1389.27002,289.293396,489.424774,200.645569,666.903687,643.640747,200.484467,123.745247,149.658051,111.684998,281.292755,2604.25,79.786346,426.791687
2013-05-29,6104.299805,174.775009,264.211121,575.151672,392.581604,451.885376,306.392761,1373.900757,297.117279,523.567871,202.208817,670.838501,647.859314,197.297699,121.649467,150.472458,109.741043,284.5271,2603.082764,79.128006,420.285919
